Back,Back
"Delete Hotspot","Delete Hotspot"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Save and Continue Edit","Save and Continue Edit"
"Save Hotspot","Save Hotspot"
"Delete Post","Delete Post"
"Save Post","Save Post"
"Extensions is not activated!","Extensions is not activated!"
"Cron is disabled! Automatic post updates will not run.","Cron is disabled! Automatic post updates will not run."
"Next Cron Job is scheduled for %1","Next Cron Job is scheduled for %1"
"Cron: Last successful execution %1","Cron: Last successful execution %1"
"Cron Job has not yet been scheduled to run.","Cron Job has not yet been scheduled to run."
"User Guide","User Guide"
"Extension is not activated! Some functionality is disabled.","Extension is not activated! Some functionality is disabled."
"Click here to Activate","Click here to Activate"
"What's New","What's New"
Support,Support
Renew,Renew
Active,Active
"Dev License Activated. <br>Do not use on live store.","Dev License Activated. <br>Do not use on live store."
"Extension is not activated! Sync is disabled.","Extension is not activated! Sync is disabled."
"Extension Docs","Extension Docs"
Olegnax,Olegnax
Hotspot,Hotspot
"You deleted the Hotspot.","You deleted the Hotspot."
"We can't find a Hotspot to delete.","We can't find a Hotspot to delete."
"This Hotspot no longer exists.","This Hotspot no longer exists."
"Edit Hotspot","Edit Hotspot"
"New Hotspot","New Hotspot"
Hotspots,Hotspots
"Edit Hotspot %1","Edit Hotspot %1"
HotSpot,HotSpot
"Please correct the data sent.","Please correct the data sent."
"You saved the Hotspot.","You saved the Hotspot."
"Something went wrong while saving the Hotspot.","Something went wrong while saving the Hotspot."
Intspost,Intspost
"You deleted the Post.","You deleted the Post."
"We can't find a Post to delete.","We can't find a Post to delete."
"This Post no longer exists.","This Post no longer exists."
"Edit Post","Edit Post"
"New Post","New Post"
Posts,Posts
"Edit %1 Post %2","Edit %1 Post %2"
"Instagram Posts","Instagram Posts"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Nothing selected!","Nothing selected!"
"Something went wrong while updating status for %1.","Something went wrong while updating status for %1."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"You saved the Post.","You saved the Post."
"Something went wrong while saving the Post.","Something went wrong while saving the Post."
"Updating too often! Interaction with external servers paused at %1","Updating too often! Interaction with external servers paused at %1"
"Extension is not activated! You can't update posts and sync with instagram.","Extension is not activated! You can't update posts and sync with instagram."
"No posts were found! Perhaps the profile is private?","No posts were found! Perhaps the profile is private?"
"User ""%1"": %2","User ""%1"": %2"
"You need to add User first in order to get Posts.","You need to add User first in order to get Posts."
days,days
hours,hours
minutes,minutes
seconds,seconds
"Unable to download image from ""' . . '""!","Unable to download image from ""' . . '""!"
"Added ""%1"" posts.","Added ""%1"" posts."
"Updated ""%1"" posts.","Updated ""%1"" posts."
"The following posts will be added during automatic update.","The following posts will be added during automatic update."
"An unexpected error occurred with the user's posts ""%1"": %2","An unexpected error occurred with the user's posts ""%1"": %2"
"Instagram User","Instagram User"
"User was added successfully!","User was added successfully!"
"Empty response","Empty response"
"No data provided","No data provided"
"User deleted successfully!","User deleted successfully!"
"Unable to find User to delete.","Unable to find User to delete."
"Instagram Users","Instagram Users"
"Received an empty token!","Received an empty token!"
"Error converting token!","Error converting token!"
"Token save error!","Token save error!"
"No posts were found!","No posts were found!"
"License Key can not be empty.","License Key can not be empty."
Deactivated.,Deactivated.
"Invalid content received","Invalid content received"
"Closure must return an object instance of LicenseRequest.","Closure must return an object instance of LicenseRequest."
Fade,Fade
"Move Up","Move Up"
All,All
"Default (Bag, Rounded)","Default (Bag, Rounded)"
"Bag, Sharp","Bag, Sharp"
Cart,Cart
"Default Grid","Default Grid"
"First Image Big","First Image Big"
"Every nth Image is Big","Every nth Image is Big"
None,None
"Small Plus","Small Plus"
"Bag Roudned, Outline","Bag Roudned, Outline"
"Same as on Desktop","Same as on Desktop"
Minimize,Minimize
Hide,Hide
"Default (Outline)","Default (Outline)"
Filled,Filled
Contain,Contain
Cover,Cover
"Zoom Out","Zoom Out"
"Zoom In","Zoom In"
"None, Original Size","None, Original Size"
"Max Height","Max Height"
Square,Square
"Image Only","Image Only"
"Content Overlay Image on Hover","Content Overlay Image on Hover"
"Content Below Image","Content Below Image"
"Content Below Image, Centered","Content Below Image, Centered"
"Content Overlay Image on Hover, Likes and Comments Below","Content Overlay Image on Hover, Likes and Comments Below"
Default,Default
"Tag Icon, 45 degree","Tag Icon, 45 degree"
"Tag Shape, Horizontal","Tag Shape, Horizontal"
"Square Tag Shape, Horizontal","Square Tag Shape, Horizontal"
"Bag Shape, Filled","Bag Shape, Filled"
"Outlined Bag Icon in Circle","Outlined Bag Icon in Circle"
"Outlined Cart Icon in Circle","Outlined Cart Icon in Circle"
"Default (Rounded, Filled)","Default (Rounded, Filled)"
"Sharp Outlined","Sharp Outlined"
"Sharp Filled","Sharp Filled"
Image,Image
Album,Album
Video,Video
"In Gallery Block","In Gallery Block"
"After Gallery Block","After Gallery Block"
"In Info Block, after all","In Info Block, after all"
"In Info Block, after description","In Info Block, after description"
"After Tabs","After Tabs"
"Before Tabs","Before Tabs"
"In content before all","In content before all"
"In content after all","In content after all"
Yes,Yes
No,No
"Show all posts if there are no related posts","Show all posts if there are no related posts"
"None, Use theme styles","None, Use theme styles"
Circles,Circles
"Half outside","Half outside"
Inside,Inside
Sharp,Sharp
"Grid, First Image Big","Grid, First Image Big"
"None. Don't play in grid","None. Don't play in grid"
"Play on Hover","Play on Hover"
"Play on Click","Play on Click"
"Use Global Settings","Use Global Settings"
"Failed generating file: %1<br/>Message: %2","Failed generating file: %1<br/>Message: %2"
"Could not save the hotSpot: %1","Could not save the hotSpot: %1"
"Could not delete the HotSpot: %1","Could not delete the HotSpot: %1"
