"Empty Child Categories","Empty Child Categories"
Slider,Slider
Grid,Grid
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"Child Categories","Child Categories"
"Product Slider","Product Slider"
Products,Products
Appearance,Appearance
Title,Title
"Block Layout","Block Layout"
"Number of Products to Display","Number of Products to Display"
"Number of Visible Items","Number of Visible Items"
"Slider Width(px)","Slider Width(px)"
"Slider Autoplay","Slider Autoplay"
"Slider Autoplay Speed(ms)","Slider Autoplay Speed(ms)"
"Show Product Options & 'Add to Cart' Button","Show Product Options & 'Add to Cart' Button"
"Display Page Control","Display Page Control"
"Number of Products per Page","Number of Products per Page"
Condition,Condition
"Mega Menu Child Categories","Mega Menu Child Categories"
